Name,topic,uses_knowledge_graph,reasoning_depth,baseline,retrieval_method,generator_model,uses_reranker,data_modality,evaluation_dataset,evaluation_metric,application_domain,use_agent,agent_framework
2411.07396v1_Toward-Optimal-Search-and-Retrieval-for-RAG.pdf,Retrieval-Augmented Generation,,,,Dense Retrieval; Graph-based Retrieval,LLaMA; Mistral,,Text,ASQA; QAMPARI; Natural Questions,recall@k; search recall@k; string exact match recall (EM Rec.); citation recall; citation precision,,No,
2411.09590v1_Adopting-RAG-for-LLM-Aided-Future-Vehicle-Design.pdf,Retrieval-Augmented Generation,No,single-hop,LLAMA3; Mixtral; GPT-4o; Mistral,Dense Retrieval,GPT-4o; LLAMA3; Mistral; Mixtral,Yes,Text,ISO 26262-1:2018,Accuracy; Execution time; Indexing time; Search time,Automotive,No,
2411.13154v1_DMQR-RAG-Diverse-Multi-Query-Rewriting-for-RAG.pdf,Retrieval-Augmented Generation,No,multi-hop,LLM Rewrite; Hyde; Rewrite-Retrieve-Read (RRR); RQ-RAG; Original Query Retrieval (OQR); RAG-Fusion,Web Search,GPT-4,Yes,Text,AmbigNQ; HotpotQA; FreshQA; Industry dataset,H@5; P@5; EM; F1; Acc; Correctness; Relevance,Industrial applications,No,
2411.14592v2_G-RAG-Knowledge-Expansion-in-Material-Science.pdf,Retrieval-Augmented Generation,Yes,multi-hop,Naive RAG; Graph RAG,Graph-based Retrieval; Dense Retrieval,LLama 3.1 8B; LLama 3.1 70B,No,Text; Image; Table,custom handwritten queries,Correctness; Faithfulness; Relevancy; Context Relevancy,Material Science,Yes,Other
2411.16523v2_LaB-RAG-Label-Boosted-Retrieval-Augmented-Generation-for-Radiology-Report-Generation.pdf,Retrieval-Augmented Generation,No,single-hop,CXR-RePaiR; CXR-ReDonE; X-REM; RGRG; CheXagent; CXRMate; Standard RAG,Dense Retrieval,Mistral-7B-Instruct-v0.3; Mistral-7B-Instruct-v0.1; BioMistral,Yes,Text; Image,MIMIC-CXR; CheXpert Plus,F1-RadGraph; F1-CheXbert; BLEU-4; ROUGEL; BERTScore,Medical,No,
2411.19539v1_Knowledge-Management-for-Automobile-Failure-Analysis-Using-Graph-RAG.pdf,Retrieval-Augmented Generation,Yes,single-hop,ChatGPT; SP-based Graph RAG,Graph-based Retrieval,GPT-4o,Yes,Text,Original Q&A dataset,ROUGE-1; ROUGE-2; ROUGE-L,Automotive,No,
2411.19554v1_Unimib-Assistant-designing-a-student-friendly-RAG-based-chatbot-for-all-their-needs.pdf,Retrieval-Augmented Generation,,single-hop,,Dense Retrieval,ChatGPT-4,No,Text,,,Education,Yes,
2411.19710v1_Know-Your-RAG-Dataset-Taxonomy-and-Generation-Strategies-for-Evaluating-RAG-Systems.pdf,Retrieval-Augmented Generation,No,single-hop,Simple prompt (Hugging Face Cookbook); Ragas,Dense Retrieval; Sparse Retrieval; Hybrid Retrieval,Llama-3-70b; Flan-T5-large; kaist-ai/prometheus-8x7b-v2,Yes,Text,HotpotQA; MS MARCO; NaturalQ; NewsQA; PubMedQA; SQuAD2,Recall@N; Fleiss' kappa; Stand Alone; Question Specificity; Question-Context Grounding; Answer-Context Grounding,General; Medical,No,
2412.01572v4_MBA-RAG-a-Bandit-Approach-for-Adaptive-Retrieval-Augmented-Generation-through-Question-Complexity.pdf,Retrieval-Augmented Generation,No,multi-hop,No-Retrieval; Adaptive-Retrieval; Self-RAG; DRAGIN; SEAKR; Adaptive-RAG,Sparse Retrieval,FLAN-T5-XL,No,Text,SQuAD v1.1; Natural Questions; TriviaQA; MuSiQue; HotpotQA; 2WikiMultiHopQA,EM; F1; Accuracy; Step,General,Yes,Other
2412.02262v1_Composing-Open-domain-Vision-with-RAG-for-Ocean-Monitoring-and-Conservation.pdf,Retrieval-Augmented Generation,No,single-hop,InceptionV3,Dense Retrieval,LLaVA 1.5,No,Image; Text,Fishnet,Top-1 Accuracy; Top-2 Accuracy; Top-3 Accuracy; Precision; Recall,Ocean Monitoring; Marine Conservation; Fisheries,No,
2412.06832v2_SLA-Management-in-Reconfigurable-Multi-Agent-RAG-A-Systems-Approach-to-Question-Answering.pdf,Retrieval-Augmented Generation,Yes,single-hop,,Dense Retrieval; Sparse Retrieval; Graph-based Retrieval,GPT-4,Yes,Text,Custom dataset of user queries from businesses,Precision; Recall; F1 Score; Hallucination Rate; Incongruent Response Rate,E-commerce; Customer Support; Legal; Healthcare; Retail; Finance,Yes,Multi-Agent Collaboration
2412.12775v1_RemoteRAG-A-Privacy-Preserving-LLM-Cloud-RAG-Service.pdf,Retrieval-Augmented Generation,No,single-hop,privacy-ignorant service; privacy-conscious service,Dense Retrieval,,No,Text,MS MARCO,SacreBLEU; Recall; running time; transmission size,General,No,
2412.13799v1_Enhancing-Rhetorical-Figure-Annotation-An-Ontology-Based-Web-Application-with-RAG-Integration.pdf,Retrieval-Augmented Generation,Yes,single-hop,,Dense Retrieval,gpt-3.5-turbo,Yes,Text,A ground truth file constructed from 70 ontological competency questions (CQs) for the reified GRhOOT ontology.,Faithfulness; Context precision; Context recall; Answer relevancy; Answer correctness; Answer (semantic) similarity,General,No,
2412.13988v1_RAG-for-Effective-Supply-Chain-Security-Questionnaire-Automation.pdf,Retrieval-Augmented Generation,No,single-hop,SLOBE,Dense Retrieval,LlaMa 3; Mistral Instruct,Yes,Text; Table; Image,IT-Grundschutz Compendium,BertScore; METEOR; Context Precision; Context Recall; Faithfulness; Answer Relevancy,Supply Chain Security,No,
2412.14191v1_Ontology-Aware-RAG-for-Improved-Question-Answering-in-Cybersecurity-Education.pdf,Retrieval-Augmented Generation,Yes,single-hop,Zero Shot,Dense Retrieval,LLaMA3-8B-Instruct,No,Text,CyberQ,BERTScore; METEOR; ROUGE-1; ROUGE-2; Faithfulness; Answer Relevancy; Context Precision; Context Recall; Context Entity Recall,Cybersecurity Education,No,
2412.18295v2_Pirates-of-the-RAG-Adaptively-Attacking-LLMs-to-Leak-Knowledge-Bases.pdf,Retrieval-Augmented Generation,No,single-hop,TGTB; PIDE; DGEA; RThief; GPTGEN; DGEA*; RThief*,Dense Retrieval,LLama 3.1 8B; Phi-3.5 mini; LLama 3.2 3B,No,Text,ChatDoctor; Mini-Wikipedia; Mini-BioASQ,Navigation Coverage (Nav); Leaked Knowledge (LK); Leaked Chunks (LC); Unique Leaked Chunks (ULC); Attack Query Generation Time (Gs),Medical; Education; Chemistry,Yes,Other
2412.19291v2_RAG-with-Differential-Privacy.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,,No,Text,sarus-tech/medical_dirichlet_phi3,Accuracy,Medical,No,
2412.21023v2_EdgeRAG-Online-Indexed-RAG-for-Edge-Devices.pdf,Retrieval-Augmented Generation,No,single-hop,Flat index; IVF index,Dense Retrieval,Sheared LLaMA-2.7B,No,Text,scidocs; fiqa; quora; nq; hotpotqa; fever,Precision; Recall; Time-to-First-Token (TTFT); generation quality score,General,No,
2501.02173v1_The-Efficiency-vs-Accuracy-Trade-off-Optimizing-RAG-Enhanced-LLM-Recommender-Systems-Using-Multi-Hea.pdf,Retrieval-Augmented Generation,No,multi-hop,DeepFM;DIN;SIM;GRU4Rec;Tallrec;LLM-retriever,Graph-based Retrieval,Vicuna-7B,No,Text,BookCrossing;Amazon Beauty;Amazon video games,AUC;RPS,General,No,
2501.02727v1_Tree-based-RAG-Agent-Recommendation-System-A-Case-Study-in-Medical-Test-Data.pdf,Retrieval-Augmented Generation,No,multi-hop,Traditional Vector Similarity (TVS); Flat-RAG,Dense Retrieval,GPT-O1,Yes,Text,"A custom clinical dataset of 125,000 outpatient visits",Coverage Rate (CR); Accuracy; Miss Rate (MR); Clinical Relevance Score (CRS),Medical,Yes,Other
2501.04652v2_Multi-task-retriever-fine-tuning-for-domain-specific-and-efficient-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,BM25;mE5-Small;mE5-Base;mE5-Large;mE5-Large-Instruct;mGTE-Base;GTE-Qwen2-1.5B-Instruct;GTE-Qwen2-7B-Instruct;GritLM-7B;E5-Mistral-7B-Instruct,Dense Retrieval;Sparse Retrieval,,No,Text;Code;Table,Flow Generation development set;10 OOD splits (OOD1-OOD10);Translated development dataset;Workflow retrieval dataset,Recall@K;Step@15;Table@5;Field@5,IT;HR;Finance,No,
2501.05554v1_LLMQuoter-Enhancing-RAG-Capabilities-Through-Efficient-Quote-Extraction-From-Large-Contexts.pdf,Retrieval-Augmented Generation,No,multi-hop,LLAMA 1B; LLAMA 3B; GPT-3.5 Turbo; LLaMA2-7B+Full Context; RAFT (LLaMA2-7B),other,LLAMA 1B; LLAMA 3B; GPT-3.5 Turbo,No,Text,HotpotQA,Recall; Precision; F1-Score; Semantic Accuracy; Accuracy,General,No,
2501.06468v1_First-Token-Probability-Guided-RAG-for-Telecom-Question-Answering.pdf,Retrieval-Augmented Generation,No,single-hop,Without RAG,Dense Retrieval,Phi-2,No,Text,Specializing Large Language Models for Telecom Networks by ITU AI/ML in 5G Challenge,Accuracy,Telecommunications,No,
2501.10534v1_4bit-Quantization-in-Vector-Embedding-for-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,FP32; HNSW; Product-quantization,Dense Retrieval,,No,Text,dbpedia-openai-1M-1536-angular; sts-metb; str-2022; SICK,RMSE; Accuracy; Pearson correlation coefficient,General,No,
2501.10734v1_GEC-RAG-Improving-Generative-Error-Correction-via-Retrieval-Augmented-Generation-for-Automatic-Speec.pdf,Retrieval-Augmented Generation,No,single-hop,ASRBaseline; VanillaLLM,Sparse Retrieval,GPT-4o,No,Audio; Text,CommonVoice-v19,WER,General,No,
2501.13880v1_A-RAG-Based-Institutional-Assistant.pdf,Retrieval-Augmented Generation,No,single-hop,BM25; random baseline; direct prompting of an LLM,Dense Retrieval; Sparse Retrieval,GPT-3.5-turbo; Llama-3-8B-Instruct; Mixtral-8x7B-Instruct; Sabia-2-medium,No,Text,custom USP QA dataset,Top-k Accuracy; F1-score; Cosine Similarity; LLM-based evaluation,Education,No,
2501.15290v1_Advanced-Real-Time-Fraud-Detection-Using-RAG-Based-LLMs.pdf,Retrieval-Augmented Generation,No,single-hop,BERT; Simple LLM Untrained,Dense Retrieval,,No,Audio; Text,Synthetic call recordings,Accuracy; Precision; Recall; F1 Score,Finance; Telecommunications,Yes,Other
2501.16276v1_URAG-Implementing-a-Unified-Hybrid-RAG-for-Precise-Answers-in-University-Admission-Chatbots-A-Cas.pdf,Retrieval-Augmented Generation,No,single-hop,GPT-4o; Claude 3.5 Sonnet; Gemini 1.5 Pro,Dense Retrieval,ura-hcmut/ura-llama-7b,No,Text,In-house dataset of 500 university admission questions,"['Accuracy', 'Mean Reciprocal Rank (MRR)']",University Admission,No,
2502.03948v1_Enhancing-Online-Learning-Efficiency-Through-Heterogeneous-Resource-Integration-with-a-Multi-Agent-R.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval; Web Search,GPT-4o,No,Text; Code,,Perceived Usefulness (PU); Perceived Ease of Use (PEU); TAM Score,Education,Yes,Multi-Agent Collaboration
2502.08356v3_Systematic-Knowledge-Injection-into-Large-Language-Models-via-Diverse-Augmentation-for-Domain-Specif.pdf,Retrieval-Augmented Generation,No,single-hop,Base+RAG; DSF; DSF+RAG; RAFT(p*); CA-RAFT(p*),Dense Retrieval,Mistral-7B-Instruct-v0.2; LLaMA-2-7B-Chat; LLaMA-2-13B-Chat,No,"['Text', 'Code']",Book1; Book2; Factoid test set; MMLU; GSM8k; Hellaswag; TruthfulQA; CLAPNQ,Recall; Mixtral-J; LLaMA-J; Flexible Match; Strict Match; Accuracy; RougeL,General,No,
2502.09073v1_Enhancing-RAG-with-Active-Learning-on-Conversation-Records-Reject-Incapables-and-Answer-Capables.pdf,Retrieval-Augmented Generation,No,single-hop,"Random; Entropy; Coreset; BLEUVar; Naive IDDS; IDBS_prompt; IDDS_q,r combined",,Llama-2-7B-chat,No,Text,RAGTruth,Rejection Rate (RR); ROUGE-L; ROUGE-1; ROUGE-2; BERTScore,General,No,
2502.10596v2_Post-training-an-LLM-for-RAG-Train-on-Self-Generated-Demonstrations.pdf,Retrieval-Augmented Generation,No,single-hop,Llama-3-Instruct; Instruction tuning (IT); Retrieval-augmented instruction-tuning (RA-IT),Dense Retrieval,Llama-3-8B-Instruct; Llama-3-70B-Instruct,No,Text,PSR; FEVER; HPQA; MMLU; NQ; TQA; T-REx; WoW; zsRE,Precision; Recall; F1; Accuracy,General,No,
2502.10950v2_SpeechT-RAG-Reliable-Depression-Detection-in-LLMs-with-Retrieval-Augmented-Generation-Using-Speech-T.pdf,Retrieval-Augmented Generation,No,single-hop,Wav2Vec 2.0; HuBERT; WavLM; Zero-shot; Fine-tune; Text-RAG; PWLM; MCDP,Dense Retrieval; other,Llama2-7B; Llama2-13B; Llama2-7B Chat; Llama2-13B Chat; Llama3-8B; Llama3-8B-Instruct,No,Audio; Text,DAIC-WOZ,F1; ECE,Mental Health,No,
2502.11175v4_Investigating-Language-Preference-of-Multilingual-RAG-Systems.pdf,Retrieval-Augmented Generation,No,single-hop,Bergen; all,Dense Retrieval,aya-expanse-8b; qwen 2.5-7B Instruct; Phi-4 14B; Llama-3.1-8B-Instruct; GPT-4o-mini,Yes,Text,MKQA; KILT NQ,MultiLingualRankShift (MLRS); embedding similarity; character 3-gram recall,General,No,
2502.11228v2_Vendi-RAG-Adaptively-Trading-Off-Diversity-And-Quality-Significantly-Improves-Retrieval-Augmented-Ge.pdf,Retrieval-Augmented Generation,No,multi-hop,No Retrieval; Single-step Approach; Adaptive Retrieval; LightRAG; Adaptive-RAG; Self-RAG; Adaptive Retrieval with MMR; Graph-RAG; FiD-Reranker,other,GPT-3.5; GPT-4o; GPT-4o-mini,No,Text,HotpotQA; MuSiQue; 2WikiMultiHopQA,EM; F1; Acc; VS; MPD; Kendall’s τ; Spearman’s Rank Correlation ρ,General,Yes,CoT
2502.15005v1_A-Socratic-RAG-Approach-to-Connect-Natural-Language-Queries-on-Research-Topics-with-Knowledge-Organi.pdf,Retrieval-Augmented Generation,Yes,multi-hop,,Dense Retrieval,,Yes,Text,,,General,Yes,Other
2502.17506v3_RAG-Enhanced-Collaborative-LLM-Agents-for-Drug-Discovery.pdf,Retrieval-Augmented Generation,Yes,multi-hop,GraphMVP; MoleculeSTM; GPT-4o mini; GPT-4o; Galactica 125M; Galactica 1.3B; Galactica 6.7B; Only SMILES; MolT5; LlasMol; BioT5; GIMLET,Dense Retrieval; Graph-based Retrieval,GPT-4o mini,No,Text,Drug Repurposing Hub; DrugBank; STITCH v5.0; ChemPert; BBBP; Sider; ClinTox; BACE; hERG; DILI; Skin; MLSMR Mtb,Precision; AUROC; Macro-F1,Drug Discovery,Yes,Multi-Agent Collaboration
2502.20188v1_Bisecting-K-Means-in-RAG-for-Enhancing-Question-Answering-Tasks-Performance-in-Telecommunications.pdf,Retrieval-Augmented Generation,No,single-hop,base phi-2; base gemma-2-2b; base Phi-3-4k-instruct,Dense Retrieval,phi-2; gemma-2-2b; Phi-3-4k-instruct,No,Text,TeleQnA,Accuracy,Telecommunications,No,
2503.01713v3_SAGE-A-Framework-of-Precise-Retrieval-for-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,Naive RAG; Title+Abstract; BM25+BERT; Recursively Summarizing Books; CoLISA; BiDAF; Longformer-base; RAPTOR+GPT-4; DPR; BM25,Dense Retrieval; Sparse Retrieval,GPT3.5 turbo; GPT4; GPT4-o-mini; UnifiedQA-3B,Yes,Text,QuALITY; QASPER; NarrativeQA; TriviaQA,Accuracy; F1-Match; ROUGE; BLEU-1; BLEU-4; METEOR; Cost-efficiency,General,Yes,Other
2503.04388v2_More-Documents-Same-Length-Isolating-the-Challenge-of-Multiple-Documents-in-RAG.pdf,Retrieval-Augmented Generation,No,multi-hop,,,Llama-3.3 70B; Llama 3.2 3B; Qwen2.5 7B; Qwen2.5 72B; Gemma2 9B; Gemma2 27B; GPT-4o; GPT-4o-mini; Qwen-2 7B; Qwen-2 72B; Llama-3.1 8B; Llama-3.1 72B,No,Text,MuSiQue; 2WikiMultiHopQA,F1,General,No,
2503.08398v1_OpenRAG-Optimizing-RAG-End-to-End-via-In-Context-Retrieval-Learning.pdf,Retrieval-Augmented Generation,No,single-hop,E5; ContrieverMS; RePlug; Self-RAG; Llama38B + SIDRMS; Llama38B + SIDRNQ,Sparse Retrieval,Llama3-8b; Llama3-Instruct8B; Phi-3-mini-4k-instruct3.8B; Mistral-Instruct7B; Llama2-7B,Yes,Text,Natural Questions; TriviaQA; PubHealth; ARC-Challenge,Accuracy,General; Medical; Education,No,
2503.12663v1_Logic-RAG-Augmenting-Large-Multimodal-Models-with-Visual-Spatial-Knowledge-for-Road-Scene-Understand.pdf,Retrieval-Augmented Generation,Yes,single-hop,GPT-4V; Claude 3.5,other,GPT-4V; Claude 3.5,No,Video; Text,CARLA; KITTI,Accuracy; F1,Autonomous Driving,No,
2503.13514v1_RAG-KG-IL-A-Multi-Agent-Hybrid-Framework-for-Reducing-Hallucinations-and-Enhancing-LLM-Reasoning-thr.pdf,Retrieval-Augmented Generation,Yes,multi-hop,GPT-4o; RAG-only system,Dense Retrieval; Graph-based Retrieval,GPT-4o,No,Text,UK NHS A-Z disease contents,Hallucination Count; Incompleteness Count,Healthcare; Medical,Yes,Multi-Agent Collaboration
2503.13563v1_MES-RAG-Bringing-Multi-modal-Entity-Storage-and-Secure-Enhancements-to-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,Direct; DSP; Self-RAG; ReAct; Self-Ask,Dense Retrieval,GPT-4o,No,Text; Image; Audio; Video,Custom vehicle brand dataset,Accuracy†; Recall@1; Recall@5; Accuracy,Automotive,No,
2503.16071v1_Tuning-LLMs-by-RAG-Principles-Towards-LLM-native-Memory.pdf,Retrieval-Augmented Generation,Yes,single-hop,VanillaRAG; GraphRAG; Long-Context LLM; Normal SFT,Dense Retrieval; Graph-based Retrieval,Gemini-1.5-pro-001; GPT-4o-mini; Qwen-2-7B-instruct,Yes,Text,News articles; Podcast transcripts; Journaling; MMLU; GSM8K; HumanEval,Helpful; Rich; Insightful; User-Friendly,General; Personal Assistant,No,
2503.20757v2_MCTS-RAG-Enhancing-Retrieval-Augmented-Generation-with-Monte-Carlo-Tree-Search.pdf,Retrieval-Augmented Generation,No,multi-hop,CoT; rStar; Standard RAG; GPT-4o; Qwen2.5-72B; ReAct; Self-Ask with Search; Search-O1; Self-RAG; FLARE; Iter-RetGen; AutoRAG; TC-RAG; IterDRAG; DeepRAG; ReARTeR; RAG-Star,Web Search,Qwen2.5-7B; Llama 3.1-8B,No,Text,ComplexWebQA; GPQA; FoolMeTwice,Accuracy,General,Yes,Other
2504.00180v1_Contradiction-Detection-in-RAG-Systems-Evaluating-LLMs-as-Context-Validators-for-Improved-Informatio.pdf,Retrieval-Augmented Generation,No,multi-hop,Claude-3 Sonnet; Claude-3 Haiku; Llama-3.3 70B; Llama-3.1 8B,,Claude-3 Sonnet; Llama-3.3 70B; Claude-3 Haiku; Llama-3.1 8B,No,Text,HotpotQA,Accuracy; Precision; Recall; F1; Macro F1; Jaccard similarity,General,No,
2504.01018v2_Self-Routing-RAG-Binding-Selective-Retrieval-with-Knowledge-Verbalization.pdf,Retrieval-Augmented Generation,No,single-hop,Always RAG; GenRead; Selective RAG,Dense Retrieval,Llama2-7B-Chat; Phi-3.5-MiniInstruct; Qwen2.5-7BInstruct,No,Text,PopQA; TriviaQA; PubHealth; ARC Challenge,"['Accuracy', 'Substring Matching', 'AUROC']",General; Public Health,No,
2504.04858v3_Dont-Lag-RAG-Training-Free-Adversarial-Detection-Using-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,JPEG compression; Spatial smoothing; SAC; DIFFender; retrieval-only baseline,Dense Retrieval,Qwen-VL-Plus; Qwen2.5-VL-Instruct; UI-TARS-72B-DPO; Gemini-2.0,No,Image; Text,ImageNet-Patch; APRICOT,Accuracy,General,No,
2504.06271v1_ER-RAG-Enhance-RAG-with-ER-Based-Unified-Modeling-of-Heterogeneous-Data-Sources.pdf,Retrieval-Augmented Generation,Yes,multi-hop,"Llama3 8B; GPT-4o-mini; GPT-4o; DeepSeek v3; ChatGPT Plus (GPT-4o); Claude-3.5-sonnet Pro; Perplexity (405B); ZeroShot SQL (DB,GPT-40); DAIL SQL (DB.GPT-40); SuperSQL (DB,GPT-4o)",Hybrid Retrieval; other,8B LLM,Yes,Text; Table,CRAG; CompMix; synthetic MIX,LLM-based Scores; Accuracy,Movie; Music; Sports; Finance,Yes,Other
2504.08386v1_PCA-RAG-Principal-Component-Analysis-for-Efficient-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,single-hop,Full-dimensional embeddings,Dense Retrieval,,No,Text,HuggingFace sentence pairs with human-annotated similarity scores,Pearson correlation; Spearman rank correlation; MAE; R²,Finance; Trading,Yes,Other
2504.08967v1_RAG-Based-Fuzzing-of-Cross-Architecture-Compilers.pdf,Retrieval-Augmented Generation,No,multi-hop,,Dense Retrieval,GPT-4,No,Code; Text,,Number of identified test cases with issues; Output value mismatch; Compiler runtime errors,Compiler Fuzzing,Yes,Other
2504.10074v3_MMKB-RAG-A-Multi-Modal-Knowledge-Based-Retrieval-Augmented-Generation-Framework.pdf,Retrieval-Augmented Generation,No,multi-hop,BLIP-2; InstructBLIP; LLaVA-v1.5; Qwen2-VL-Instruct; Qwen2-VL-Instruct(sft); Wiki-LLaVA; EchoSight; ReflectiVA,Dense Retrieval,Qwen2-VL-7B-Instruct,Yes,Text; Image,OKVQA; E-VQA; InfoSeek; M2KR,VQA score; BEM score,General,No,
2504.11765v1_Shared-Disk-KV-Cache-Management-for-Efficient-Multi-Instance-Inference-in-RAG-Powered-LLMs.pdf,Retrieval-Augmented Generation,No,single-hop,Baseline RAG,Dense Retrieval,OPT-1.3b; OPT-2.7b; OPT-6.7b; Llama-3.2-1B,No,Text,SQuAD v1.1,TTFT; Throughput; Latency; F1; Exact Match,General,No,
2504.11838v1_A-Visual-RAG-Pipeline-for-Few-Shot-Fine-Grained-Product-Classification.pdf,Retrieval-Augmented Generation,No,single-hop,ResNet50; BERT; CLIP,Dense Retrieval,GPT-4o; GPT-4o-mini; Gemini-2.0-flash,No,Text; Image,Retail-786k,Accuracy; Exact Match,Retail,No,
2504.13079v2_Retrieval-Augmented-Generation-with-Conflicting-Evidence.pdf,Retrieval-Augmented Generation,No,single-hop,No RAG; Concatenated-prompt; Single Agent with Self-reflection; Self-RAG; Speculative RAG; Astute RAG,Web Search,Llama3.3-70B-Instruct; Qwen2.5-72B-Instruct; GPT-4o-mini,No,Text,FaithEval; AmbigDocs; RAMDocs,exact match; Accuracy; Precision; Recall; F1,General,Yes,Multi-Agent Collaboration
2504.16813v1_LLM-assisted-Graph-RAG-Information-Extraction-from-IFC-Data.pdf,Retrieval-Augmented Generation,Yes,multi-hop,,Graph-based Retrieval,GPT-4o,No,Text,"['a sample IFC data file from the buildingSMART Community Projects', 'a benchmark dataset of 60 question-answer pairs']",Accuracy,Architecture; Engineering; Construction,No,
2504.19754v1_Reconstructing-Context-Evaluating-Advanced-Chunking-Strategies-for-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,single-hop,Early Chunking; Traditional Retrieval; Fixed-Window Uncontextualized Chunks; Semantic Uncontextualized Chunks,Dense Retrieval; Sparse Retrieval; Hybrid Retrieval,Phi-3.5-mini-instruct,Yes,Text,NFCorpus; MSMarco,NDCG; MAP; F1-score,Medical; General,No,
2505.03295v1_Capability-Driven-Skill-Generation-with-LLMs-A-RAG-Based-Approach-for-Reusing-Existing-Libraries-and.pdf,Retrieval-Augmented Generation,Yes,single-hop,,Dense Retrieval,gpt-4o; o3-mini,No,Text; Code,Custom Robot Capabilities (Move Forward; Get Object; Rotate; Collision Avoidance; Mapping; Move to Point),Syntax correctness; Annotation completeness; Executability; Interface usage; Behavioral accuracy; Lines of code; Manual effort,Industrial Automation; Robotics,No,Other
2505.09945v1_Personalizing-Large-Language-Models-using-Retrieval-Augmented-Generation-and-Knowledge-Graph.pdf,Retrieval-Augmented Generation,Yes,single-hop,Retrieval-Augmented Generation,Dense Retrieval,Llama-2-Chat (7B); Llama-2-Chat (13B); Llama-2-Chat (70B),No,Text,Custom (Alex's Calendar and Conversations),ROUGE; BLEU; Execution time,General,No,null
2505.10951v2_SubGCache-Accelerating-Graph-based-RAG-with-Subgraph-level-KV-Cache.pdf,Retrieval-Augmented Generation,Yes,multi-hop,G-Retriever; GRAG,Graph-based Retrieval,Llama-3.2-3B; Llama-2-7B; Mistral-7B; Falcon-7B,No,Text,Scene Graph; OAG,Accuracy; Response Time; Time to First Token; Prefill and First Token Time,General,No,
2505.11995v1_Unveiling-Knowledge-Utilization-Mechanisms-in-LLM-based-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,multi-hop,Closed-Book,Dense Retrieval,LLaMA3-8B; LLaMA-3.1-8B; LLaMA-3-70B; Qwen-2.5-1.5B; Qwen-2.5-7B,No,Text,Natural Questions; TriviaQA; HotpotQA,EM; CEM; F1; perplexity,General,No,
2505.14381v1_SCAN-Semantic-Document-Layout-Analysis-for-Textual-and-Visual-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,single-hop,MinerU; Marker; GOT-580M; Nougat-350M; InternVL2.5-78B; olmOCR-7B; Qwen2.5-VL-72B; DocLayout-YOLO-Qwen2.5-VL-72B; Beehive-Qwen2.5-VL-72B; LlamaParse-Premium; Qwen2.5-VL-7B,Hybrid Retrieval; Dense Retrieval,Llama-3.1-8B-Instruct; Qwen2-7B-Instruct; Qwen2.5-VL-7B; GPT-4o,No,Text; Image,OHR-Bench; Allganize; BizMMRAG,LCS; F1; Accuracy,Gneral,No,
2505.17238v2_Personalizing-Student-Agent-Interactions-Using-Log-Contextualized-Retrieval-Augmented-Generation-RAG.pdf,Retrieval-Augmented Generation,No,single-hop,discourse-only baseline,Dense Retrieval,GPT-4o,No,Text,C2STEM Truck Task activity data,win rate; loss rate; tie rate; Cohen's Quadratic Weighted Kappa,Education,Yes,CoT
2505.17326v1_VoxRAG-A-Step-Toward-Transcription-Free-RAG-Systems-in-Spoken-Question-Answering.pdf,Retrieval-Augmented Generation,No,single-hop,,Dense Retrieval,GPT-4o,Yes,Audio; Text,A single episode of the Trash Taste podcast and a 50-query test set.,Recall@10; nDCG@10; relevance; accuracy; completeness; precision,General,No,
2505.21956v3_Cross-modal-RAG-Sub-dimensional-Text-to-Image-Retrieval-Augmented-Generation.pdf,Retrieval-Augmented Generation,No,single-hop,CLIP (ViT-L/14); Finetuned CLIP (ViT-L/14); SigLIP; ViLLA; BLIP-2; GILL; SDXL; FLUX.1-dev; LaVIT; RDM; UniRAG; gpt-image-1 (without retrieval); gemini-2.0-flash (without retrieval),Hybrid Retrieval,gpt-image-1; gemini-2.0-flash,No,Text; Image,MS-COCO; Flickr30K; WikiArt; CUB; ImageNet-LT,R@1; R@5; R@10; Cosine Similarity; Style Loss,General,No,
2505.23828v1_Spa-VLM-Stealthy-Poisoning-Attacks-on-RAG-based-VLM.pdf,Retrieval-Augmented Generation,No,single-hop,Naive Attack; Prompt Injection Attack; Corpus Poisoning Attack; PoisonedRAG,Dense Retrieval,Mistral-7B Instructv0.2; LLaMA-8B Instruct,Yes,Text; Image,Encyclopedic VQA; InfoSeek,Attack Success Rate; Precision; Attack Efficiency,General,No,
